tick,message
1,"Guatemala has become insolvent (wealth -1.1)."
1,"Honduras has become insolvent (wealth -2.0)."
1,"Nicaragua has become insolvent (wealth -2.1)."
1,"Expansionist AI has become insolvent (wealth -0.3)."
1,"[AI] Merchant AI proposed a trade treaty with nation_costa_rica."
1,"[AI] Expansionist AI claimed belize."
2,"[AI] Expansionist AI proposed non-aggression with nation_guatemala."
10,"Trade clause missed_payment: treaty #1001 clause 1 — insufficient wealth (have 2.8, need 3)."
11,"Trade clause missed_payment: treaty #1001 clause 1 — insufficient wealth (have 2.4, need 3)."
11,"Trade clause breached: treaty #1001 clause 1 — 2 consecutive missed payments. Trust penalty applied."
11,"Treaty #1001 between Merchant AI and Costa Rica has completed its term. Both parties gain Trust."
11,"[AI] Merchant AI proposed a trade treaty with nation_costa_rica."
12,"Trade clause missed_payment: treaty #1013 clause 1 — insufficient wealth (have 2.0, need 3)."
12,"Treaty #1003 between Expansionist AI and Guatemala has completed its term. Both parties gain Trust."
12,"[AI] Expansionist AI proposed non-aggression with nation_guatemala."
13,"Trade clause missed_payment: treaty #1013 clause 1 — insufficient wealth (have 0.7, need 3)."
13,"Trade clause breached: treaty #1013 clause 1 — 2 consecutive missed payments. Trust penalty applied."
13,"Merchant AI has become insolvent (wealth -0.7)."
